Time to complete exam,Year,Nachklausur,Grade,Course,Attemptnumber,Bachelor/Master,Study
58,2022,No,5,Vis,1,WirtschaftsInformatik,Master
61,2022,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
69,2022,No,4,Vis,2,WirtschaftsInformatik,Master
68,2022,No,3.7,Vis,1,WirtschaftsInformatik,Bachelor
82,2022,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
72,2022,No,5,Vis,1,WirtschaftsInformatik,Bachelor
72,2022,No,4,Vis,1,WirtschaftsInformatik,Master
61,2022,No,2,Vis,1,WirtschaftsInformatik,Bachelor
67,2022,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
34,2022,No,5,Vis,1,(Wirtschafts-)Mathematik,Bachelor
65,2022,No,5,Vis,1,WirtschaftsInformatik,Bachelor
72,2022,No,5,Vis,1,WirtschaftsInformatik,Master
46,2022,No,4,Vis,1,WirtschaftsInformatik,Master
79,2022,No,3.7,Vis,1,WirtschaftsInformatik,Master
75,2022,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
65,2022,No,2.7,Vis,1,WirtschaftsInformatik,Master
63,2022,No,5,Vis,1,WirtschaftsInformatik,Master
34,2022,No,5,Vis,3,WirtschaftsInformatik,Master
79,2022,No,3.7,Vis,1,WirtschaftsInformatik,Master
68,2022,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
76,2022,No,2.3,Vis,1,WirtschaftsInformatik,Master
64,2022,No,5,Vis,1,WirtschaftsInformatik,Master
24,2022,No,4,Vis,1,WirtschaftsInformatik,Master
43,2022,No,5,Vis,1,WirtschaftsInformatik,Master
78,2022,No,4,Vis,2,WirtschaftsInformatik,Master
34,2022,No,5,Vis,1,WirtschaftsInformatik,Bachelor
80,2022,No,3,Vis,1,WirtschaftsInformatik,Master
63,2022,No,3.7,Vis,1,WirtschaftsInformatik,Master
72,2022,No,4,Vis,1,WirtschaftsInformatik,Master
73,2022,No,1,Vis,1,WirtschaftsInformatik,Master
74,2022,No,3,Vis,2,(Wirtschafts-)Mathematik,Master
70,2022,No,1.7,Vis,1,WirtschaftsInformatik,Master
68,2022,No,2.7,Vis,1,WirtschaftsInformatik,Bachelor
36,2022,No,2.3,Vis,1,WirtschaftsInformatik,Master
76,2022,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
15,2022,No,5,Vis,1,WirtschaftsInformatik,Master
65,2022,No,2.7,Vis,1,(Wirtschafts-)Mathematik,Bachelor
81,2022,No,4,Vis,2,(Wirtschafts-)Mathematik,Master
71,2022,No,2.3,Vis,1,WirtschaftsInformatik,Master
73,2022,No,1,Vis,1,(Wirtschafts-)Mathematik,Bachelor
64,2022,No,4,Vis,1,WirtschaftsInformatik,Bachelor
50,2022,No,4,Vis,1,(Wirtschafts-)Mathematik,Master
39,2022,No,2.7,Vis,1,(Wirtschafts-)Mathematik,Master
73,2022,No,2.3,Vis,1,WirtschaftsInformatik,Master
34,2022,No,5,Vis,2,WirtschaftsInformatik,Master
63,2022,No,1,Vis,1,WirtschaftsInformatik,Bachelor
15,2022,No,5,Vis,1,WirtschaftsInformatik,Master
76,2022,No,3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
58,2022,No,4,Vis,1,WirtschaftsInformatik,Master
74,2022,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
74,2022,No,2,Vis,1,WirtschaftsInformatik,Master
70,2022,Yes,5,Vis,1,(Wirtschafts-)Mathematik,Master
65,2022,Yes,2.7,Vis,1,WirtschaftsInformatik,Master
72,2022,Yes,3,Vis,2,(Wirtschafts-)Mathematik,Master
52,2022,Yes,1,Vis,2,(Wirtschafts-)Mathematik,Bachelor
49,2022,Yes,1.7,Vis,2,WirtschaftsInformatik,Bachelor
78,2022,Yes,5,Vis,1,WirtschaftsInformatik,Master
48,2022,Yes,1.3,Vis,1,(Wirtschafts-)Mathematik,Master
71,2022,Yes,2.3,Vis,2,WirtschaftsInformatik,Master
78,2022,Yes,1.3,Vis,1,(Wirtschafts-)Mathematik,Master
48,2022,Yes,3,Vis,2,WirtschaftsInformatik,Master
68,2022,Yes,2,Vis,1,WirtschaftsInformatik,Bachelor
64,2022,Yes,5,Vis,1,WirtschaftsInformatik,Master
75,2022,Yes,1.7,Vis,1,WirtschaftsInformatik,Bachelor
64,2022,Yes,4,Vis,1,WirtschaftsInformatik,Master
